RequirementID,Joblevel,BusinessTravel,StockOptionLevel
1,1,Travel_Rarely,0
2,1,Travel_Frequently,0
3,1,Travel_Rarely,1
4,1,Travel_Rarely,3
5,1,Travel_Rarely,2
6,1,Non-Travel,2
7,1,Travel_Frequently,1
8,1,Travel_Frequently,3
9,1,Non-Travel,1
10,1,Non-Travel,3
11,1,Travel_Frequently,2
12,1,Non-Travel,0
13,2,Travel_Rarely,0
14,2,Travel_Frequently,1
15,2,Travel_Rarely,2
16,2,Non-Travel,1
17,2,Travel_Rarely,1
18,2,Travel_Frequently,2
19,2,Travel_Frequently,0
20,2,Non-Travel,0
21,2,Non-Travel,3
22,2,Travel_Rarely,3
23,2,Travel_Frequently,3
24,2,Non-Travel,2
25,3,Travel_Frequently,0
26,3,Travel_Rarely,1
27,3,Travel_Rarely,0
28,3,Non-Travel,1
29,3,Travel_Frequently,1
30,3,Travel_Rarely,3
31,3,Travel_Rarely,2
32,3,Non-Travel,0
33,3,Travel_Frequently,3
34,3,Travel_Frequently,2
35,3,Non-Travel,2
36,4,Travel_Rarely,0
37,4,Travel_Rarely,3
38,4,Travel_Frequently,1
39,4,Non-Travel,0
40,4,Travel_Frequently,2
41,4,Non-Travel,1
42,4,Travel_Rarely,1
43,4,Travel_Frequently,3
44,4,Travel_Frequently,0
45,4,Travel_Rarely,2
46,4,Non-Travel,3
47,5,Travel_Rarely,1
48,5,Travel_Rarely,0
49,5,Non-Travel,1
50,5,Travel_Frequently,0
51,5,Non-Travel,0
52,5,Travel_Rarely,2
53,5,Travel_Frequently,1
54,5,Travel_Rarely,3
55,5,Non-Travel,2
